id,name,city,region,budget_tag,area_tag,tuition,description,image,match_score
1,Politecnico di Milano,Milano,north,high,tech,€ 3.900/ano,"O templo da Engenharia e Design. Onde a inovação encontra o estilo de vida cosmopolita de Milão. Perfeito para quem respira tecnologia e moda.",https://images.unsplash.com/photo-1564981797816-1043664bf78d?auto=format&fit=crop&q=80&w=800,98
2,Università di Bologna,Bologna,north,medium,health,€ 2.500/ano,"A universidade mais antiga do mundo ocidental. Uma cidade universitária vibrante, cheia de pórticos, história e a melhor comida da Itália.",https://images.unsplash.com/photo-1595842878783-69027df56c38?auto=format&fit=crop&q=80&w=800,95
3,IED Milano,Milano,north,high,creative,€ 18.000/ano,"O berço do design moderno. Se você quer estar no centro da Fashion Week e das tendências globais, seu lugar é aqui.",https://images.unsplash.com/photo-1544531586-fde5298cdd40?auto=format&fit=crop&q=80&w=800,92
4,Università di Padova,Padova,north,medium,health,€ 2.600/ano,"Tradição científica de Galileu. Uma cidade elegante, com canais e praças, ideal para quem busca excelência em Medicina e Ciências.",https://images.unsplash.com/photo-1523050854058-8df90110c9f1?auto=format&fit=crop&q=80&w=800,89
5,Politecnico di Torino,Torino,north,low,tech,€ 2.600/ano,"O polo industrial da Itália. Custo de vida acessível, montanhas nos arredores e um ensino de engenharia de classe mundial.",https://images.unsplash.com/photo-1521190367280-31622f98bd67?auto=format&fit=crop&q=80&w=800,88
6,Sapienza Università di Roma,Roma,center,low,health,€ 2.900/ano,"A maior da Europa. Estude cercado por milênios de história. Caótica, apaixonante e eterna, assim como a cidade.",https://images.unsplash.com/photo-1552832230-c0197dd311b5?auto=format&fit=crop&q=80&w=800,94
7,Università di Firenze,Firenze,center,medium,creative,€ 2.800/ano,"O berço do Renascimento. Inspire-se com Botticelli e Michelangelo no caminho para a aula. A cidade é um museu a céu aberto.",https://images.unsplash.com/photo-1543857770-7245f4c45112?auto=format&fit=crop&q=80&w=800,91
8,Polimoda,Firenze,center,high,creative,€ 22.000/ano,"Vanguarda da moda mundial. Para quem não quer apenas estudar moda, mas viver e definir o futuro dela.",https://images.unsplash.com/photo-1507679799987-c73779587ccf?auto=format&fit=crop&q=80&w=800,90
9,Università per Stranieri di Perugia,Perugia,center,low,tech,€ 1.500/ano,"A cidade universitária por excelência. Medieval, jovem e internacional. O lugar perfeito para mergulhar na língua e cultura italiana.",https://images.unsplash.com/photo-1626285885265-f85a2105151b?auto=format&fit=crop&q=80&w=800,85
10,Luiss Guido Carli,Roma,center,high,tech,€ 12.000/ano,"Excelência privada no coração de Roma. Networking de alto nível, campus americano e foco total em Business e Economia.",https://images.unsplash.com/photo-1541339907198-e08756dedf3f?auto=format&fit=crop&q=80&w=800,87
11,Federico II di Napoli,Napoli,south,low,tech,€ 2.200/ano,"A energia do Sul. Uma universidade histórica de frente para o mar. Vida intensa, pizza autêntica e calor humano sem igual.",https://images.unsplash.com/photo-1596395811956-2e86337a76f2?auto=format&fit=crop&q=80&w=800,93
12,Università di Bari Aldo Moro,Bari,south,low,health,€ 1.800/ano,"A porta para o Oriente. Cidade litorânea, calçadão maravilhoso e excelência em pesquisa médica e biológica.",https://images.unsplash.com/photo-1574605128362-e6e76c12b87f?auto=format&fit=crop&q=80&w=800,86
13,Università di Palermo,Palermo,south,low,creative,€ 1.600/ano,"Cultura árabe-normanda e street food. Uma explosão de cores e sabores. Perfeita para Arquitetura e Humanidades.",https://images.unsplash.com/photo-1569389397653-c042e0e88374?auto=format&fit=crop&q=80&w=800,84
14,Università del Salento,Lecce,south,low,creative,€ 1.400/ano,"A Florença do Sul. Barroco exuberante, praias caribenhas no fim de semana e um ritmo de vida doce e acolhedor.",https://images.unsplash.com/photo-1516483638261-f4dbaf036963?auto=format&fit=crop&q=80&w=800,88
15,UniCal (Calabria),Rende,south,low,tech,€ 1.200/ano,"O maior campus estilo americano da Itália. Vida comunitária intensa, moradia no campus e tecnologia de ponta.",https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&q=80&w=800,82
